name,Acidobacteria,Actinobacteria,Bacteroidetes,Chloroflexi,Cyanobacteria,Firmicutes,Fusobacteria,Planctomycetes,Proteobacteria,SAR406,Spirochaetes,Synergistetes,Tenericutes,Thermi,Verrucomicrobia,WPS-2,Unclassified,Others(<0.5%)
Group1_1,0,4.238631,7.768226,0.023375,10.544633,20.294523,3.669844,0.031166,53.304937,0,0,0,0,0.067527,0.010389,0,0.007792,0.038958
Group1_10,0.074926,1.386123,1.861309,0,0.226748,3.925705,0.920796,0.092671,91.036536,0,0.001972,0,0.039435,0.013802,0.185342,0,0.049293,0.185342
Group1_11,0.075162,0.801227,18.852126,0,0.151827,8.285856,0.780181,0.040587,69.559401,0,0.703516,0.114246,0.06013,0.001503,0.181892,0,0.252544,0.139801
Group1_12,0.045635,0.133646,0.87685,0.013039,0.09453,0.78232,5.003586,0.039116,92.952604,0,0,0,0,0.013039,0.016298,0.006519,0.022818,0
Group1_13,0,0.226469,35.846559,0.010452,0.043552,7.562323,0.635855,0.013937,55.342055,0,0.048778,0.00871,0,0,0.198596,0,0.052262,0.010452
Group1_14,0.07593,0.525183,11.450688,0.018983,0.052729,10.263225,0.440817,0.122332,76.632498,0,0.084367,0,0.016873,0.031638,0.078039,0,0.059057,0.147642
Group1_15,0.012663,0.38412,22.675756,0.018995,0.097085,20.911336,0.11397,0,55.733311,0,0,0.008442,0,0,0.044322,0,0,0
Group1_16,0.024841,0.561407,2.235692,0,0.183824,3.897556,0.027325,0.05465,92.6719,0,0,0,0,0,0.255862,0,0,0.086944
Group1_17,0,0.753643,0.870932,0.017469,0.264524,2.051308,0.004991,0,95.650329,0,0.112298,0,0,0.034937,0.082352,0,0.027451,0.129766
Group1_18,0.005101,0.669874,6.691943,0,0.062907,17.375929,0.018702,0,75.100736,0,0,0.062907,0,0.008501,0,0.0017,0.0017,0
Group1_19,0.003188,0.191275,9.565328,0,0.036661,17.348614,0.604109,0,72.096211,0,0,0.07651,0,0,0.073322,0,0.004782,0
Group1_2,0,0.060148,1.260493,0,0,0.881299,0.666858,0.054918,97.034441,0,0,0,0,0,0,0,0.041842,0
Group1_20,0.014686,0.380368,6.516184,0.066087,0.064618,3.197145,0.030841,0,89.602303,0,0,0.066087,0,0,0,0,0.044058,0.017623
Group1_21,0,3.290262,18.320678,0.00296,0.059204,32.056007,0.408508,0,45.483475,0,0,0.020721,0,0.094726,0.093246,0,0.139129,0.031082
Group1_22,0,1.884101,17.10104,0,0.040119,49.851412,17.781575,0,13.258544,0,0,0,0,0.068351,0.008915,0,0.005944,0
Group1_23,0,7.015428,9.922693,0,0,29.18993,0.034689,0,53.685289,0,0,0,0.001652,0.132148,0,0,0.001652,0.016519
Group1_24,0.029577,0.204577,0.347535,0,0.018486,1.005632,0,0,98.335038,0,0,0.003697,0,0.001232,0.052993,0,0.001232,0
Group1_25,0.01956,0.613707,1.589281,0.00978,0.094134,2.531847,0.063571,0,94.688134,0,0.10636,0,0.051346,0.025673,0.078242,0,0.028118,0.100247
