name,Group1_1,Group1_10,Group1_11,Group1_12,Group1_13,Group1_14,Group1_15,Group1_16,Group1_17,Group1_18,Group1_19,Group1_2,Group1_20,Group1_21,Group1_22,Group1_23,Group1_24,Group1_25,Group1_26,Group1_27,Group1_28,Group1_29,Group1_3,Group1_30,Group1_31,Group1_32,Group1_33,Group1_34,Group1_35,Group1_36,Group1_4,Group1_5,Group1_6,Group1_7,Group1_8,Group1_9,Group2_1,Group2_10,Group2_11,Group2_12,Group2_13,Group2_14,Group2_15,Group2_16,Group2_17,Group2_18,Group2_19,Group2_2,Group2_20,Group2_21,Group2_22,Group2_23,Group2_24,Group2_25,Group2_26,Group2_27,Group2_28,Group2_29,Group2_3,Group2_30,Group2_31,Group2_32,Group2_33,Group2_34,Group2_35,Group2_36,Group2_37,Group2_38,Group2_39,Group2_4,Group2_40,Group2_41,Group2_42,Group2_43,Group2_44,Group2_45,Group2_46,Group2_47,Group2_48,Group2_49,Group2_5,Group2_50,Group2_6,Group2_7,Group2_8,Group2_9,Group3_1,Group3_10,Group3_11,Group3_12,Group3_13,Group3_14,Group3_15,Group3_16,Group3_17,Group3_18,Group3_19,Group3_2,Group3_20,Group3_21,Group3_22,Group3_23,Group3_24,Group3_25,Group3_26,Group3_27,Group3_28,Group3_29,Group3_3,Group3_30,Group3_31,Group3_32,Group3_33,Group3_34,Group3_35,Group3_36,Group3_37,Group3_38,Group3_39,Group3_4,Group3_40,Group3_41,Group3_42,Group3_43,Group3_44,Group3_45,Group3_46,Group3_5,Group3_6,Group3_7,Group3_8,Group3_9,Group4_1,Group4_10,Group4_11,Group4_12,Group4_13,Group4_14,Group4_15,Group4_16,Group4_17,Group4_18,Group4_19,Group4_2,Group4_20,Group4_21,Group4_22,Group4_23,Group4_24,Group4_25,Group4_26,Group4_27,Group4_28,Group4_29,Group4_3,Group4_30,Group4_31,Group4_32,Group4_33,Group4_34,Group4_4,Group4_5,Group4_6,Group4_7,Group4_8,Group4_9,Group5_1,Group5_10,Group5_11,Group5_12,Group5_13,Group5_14,Group5_15,Group5_16,Group5_17,Group5_18,Group5_19,Group5_2,Group5_20,Group5_21,Group5_22,Group5_23,Group5_24,Group5_25,Group5_26,Group5_27,Group5_28,Group5_29,Group5_3,Group5_30,Group5_31,Group5_32,Group5_33,Group5_34,Group5_4,Group5_5,Group5_6,Group5_7,Group5_8,Group5_9
Acidobacteria,0,0.074926,0.075162,0.045635,0,0.07593,0.012663,0.024841,0,0.005101,0.003188,0,0.014686,0,0,0,0.029577,0.01956,0.014104,0.03189,0,0.00777,0,0.070146,0.027213,0.056315,0.019715,0.008074,0,0.04761,0.013383,0,0.021561,0.048096,0.01469,0.016932,0,0.027383,0.022594,0,0,0,0.00735,0.060485,0.014032,0,0,0,0.019891,0,0,0.055654,0,0,0,0,0.158241,0,0.050009,0,0.009641,0,0,0.093816,0.023354,0.065208,0.054002,0.020905,0.001577,0.014237,0,0,0,0.048835,0,0.078239,0,0.036161,0.046218,0,0.11323,0,0.068501,0.049479,0.037215,0.067552,0,0,0.014428,0.029974,0,0.05417,0.057071,0,0,0.066311,0,0,0.065754,0.040343,0.059047,0.053097,0.001772,0.019969,0,0,0.020363,0.023196,0.038672,0.049986,0.031925,0.021252,0,0.006446,0,0.008011,0.046672,0.012409,0,0,0,0.02867,0,0,0.025254,0.079597,0.002766,0.042631,0.034266,0,0.007036,0.026923,0.009361,0,0.010455,0,0.017606,0,0.018562,0,0,0,0,0.02639,0.176803,0.084347,0.386327,0.008399,0.031438,0,0,0.066094,0.000931,0.001389,0.028238,0,0,0.031104,0.058439,0.009179,0,0,0.002691,0,0.009712,0.021424,0,0,0.064082,0.087092,0.108247,0.007937,0,0,0.012514,0.050107,0.002963,0.005388,0,0.044544,0.00307,0,0.094715,0.012989,0,0,0,0.021755,0,0.044912,0.038337,0,0.008484,0.662616,0,0.012665,0.0192,0,0.113119,0
Actinobacteria,4.238631,1.386123,0.801227,0.133646,0.226469,0.525183,0.38412,0.561407,0.753643,0.669874,0.191275,0.060148,0.380368,3.290262,1.884101,7.015428,0.204577,0.613707,0.330568,0.700391,0.601816,0.36649,6.624829,1.083817,0.30254,0.480736,0.297129,0.094582,5.03919,0.804609,0.149893,5.014742,0.446901,0.366953,0.550893,0.349229,0.393988,4.454316,0.388202,2.05793,1.309453,0.325016,0.156801,0.33519,0.544902,0.526202,2.438058,1.470885,2.233803,0.191292,0.431971,0.541361,0.240886,0.492024,1.182687,1.399343,0.837358,1.005759,0.538734,0.959041,0.279576,0.744872,0.077187,4.168353,4.113565,0.807129,0.817133,1.011157,0.49042,4.197158,0.324254,0.502122,0.942165,2.664243,1.76956,2.460844,0.477222,0.399283,1.018392,0.228563,0.611444,0.555251,0.756365,2.940104,0.709418,0.558433,0.164506,0.381082,0.401097,0.562008,1.716421,1.278881,0.925535,0.420064,0.868244,0.270771,0.440331,0.200715,0.604315,0.296637,0.253058,4.442952,0.402176,5.277872,0.36208,0.612239,0.116359,1.673046,0.466825,0.311025,0.371925,0.779244,0.295031,0.633001,0.290419,0.076105,0.497346,0.605542,0.643594,0.155029,0.467976,0.434573,0.13995,0.14475,0.254026,0.454622,0.348533,0.215822,0.31084,0.487611,0.214592,0.563146,0.143528,0.007746,0.470482,0.081052,4.266432,0.083314,3.821166,0.279146,0.265937,2.5618,4.04808,1.422676,0.499764,0.574026,4.11052,2.058522,0.41697,0.130739,0.54205,1.664096,0.018618,0.529056,2.602639,0.353582,0.062808,1.09713,2.34771,0.058135,0.686401,1.222341,0.46822,0.34662,0.582722,0.654637,0.111082,0.337768,0.514945,1.237312,1.96893,0.023811,0.403671,0.226708,0.918206,1.275572,0.554148,0.199364,1.437186,0.715778,0.276281,0.166249,6.873027,0.270401,8.290899,1.160854,9.418268,1.844842,0.168895,6.453692,1.552634,3.827767,0.382975,19.295042,0.340851,0.066494,0.194403,0.69335,2.609456,0.463136
Bacteroidetes,7.768226,1.861309,18.852126,0.87685,35.846559,11.450688,22.675756,2.235692,0.870932,6.691943,9.565328,1.260493,6.516184,18.320678,17.10104,9.922693,0.347535,1.589281,6.155623,11.096413,6.394297,17.90233,5.544338,1.816906,12.404156,4.084884,24.353287,43.043012,7.3595,13.037993,36.019807,32.376654,14.430201,33.613595,30.040215,19.84253,1.03846,6.526303,12.264306,1.675272,9.90799,0.547395,1.112309,0.695582,13.330215,20.866334,6.949195,7.316308,2.138325,16.840499,6.085634,6.88338,1.229264,4.484009,1.880277,11.254964,6.428536,2.551363,28.334697,7.619137,4.991048,23.414192,3.114637,6.324271,3.71155,4.7283,2.238233,3.251326,1.291493,4.370853,0.986273,3.100424,1.491105,1.990043,3.482579,2.026838,3.25117,18.843135,24.291588,8.409265,7.304615,4.870181,21.198196,1.690104,0.451236,10.680027,52.471505,0.92873,18.614918,11.080305,3.460527,2.442356,10.85581,17.670305,10.956154,3.066891,51.896736,41.672786,14.970097,27.658464,16.460003,15.496455,36.408412,11.323769,38.041063,9.262341,44.921676,10.692125,29.125463,38.157919,3.417562,7.643673,38.651287,19.99046,4.959238,43.340855,8.301733,12.483093,1.528309,38.951743,7.164689,45.301183,42.526673,28.17304,29.459564,17.644538,10.850172,5.763236,23.780503,4.406151,37.117428,0.612506,31.741525,29.628984,10.66425,40.353492,4.644953,48.475839,29.598791,36.091954,24.156272,28.432335,5.092567,15.13603,2.149929,4.512547,7.3124,40.375086,1.598385,38.101423,19.20016,32.222957,14.267229,43.164618,42.133254,59.744064,0.692498,37.698289,19.869148,63.491165,9.273791,40.86041,22.315806,16.267256,44.823484,10.057608,31.259801,14.594439,8.786103,12.033756,10.461953,27.642586,51.991102,37.862904,16.961004,22.500752,30.623342,18.158306,37.901664,31.557201,42.111403,48.20243,18.473576,34.613704,1.698507,14.960146,2.414671,9.335161,50.619282,4.672824,40.315488,15.424969,58.54906,4.900123,42.943651,42.875689,25.786013,41.183063,6.203563,28.022081
Chloroflexi,0.023375,0,0,0.013039,0.010452,0.018983,0.018995,0,0.017469,0,0,0,0.066087,0.00296,0,0,0,0.00978,0.004408,0,0.050151,0.027195,0,0.001375,0.016007,0.270586,0,0,0.151131,0.065464,0,0,0.037242,0.074816,0,0,0,0.231235,0,0.023802,0,0.042765,0.0245,0,0.023386,0,0,0.006727,0.031826,0,0,0,0,0,0,0,0,0,0,0,0,0.011823,0,0.158199,0.091746,0,0.002842,0.051713,0,0.187932,0.024319,0,0,0.017635,0,0,0,0.042188,0.017531,0,0.088068,0,0,0.083333,0,0,0,0,0,0,0.149956,0.00471,0.03722,0,0,0,0,0,0,0.033223,0,0.057782,0,0,0,0,0,0,0.024861,0,0,0,0,0,0,0.001335,0.004375,0,0.001813,0,0.018995,0.001509,0,0,0,0.059698,0.001383,0.050625,0,0,0,0,0.00156,0,0.087126,0,0.026408,0,0.058338,0,0,0.044895,0.193424,0.014395,0.011787,0.388932,0.037087,0,0,0,0,0.029375,0,0.001389,0.018826,0.004111,0.008052,0.009897,0.006352,0.029068,0,0,0,0.011952,0.016996,0,0,0.006403,0.048062,0.060064,0.190164,0.003175,0,0,0,0,0,0,0,0.006144,0.009209,0,0.568291,0.001181,0.066642,0.014551,0.007019,0.171866,0,0.023432,0.014658,0,0.001212,0.198785,0,0.022165,0,0,0.002571,0
Cyanobacteria,10.544633,0.226748,0.151827,0.09453,0.043552,0.052729,0.097085,0.183824,0.264524,0.062907,0.036661,0,0.064618,0.059204,0.040119,0,0.018486,0.094134,0.048483,0.402754,0.019702,0.066046,0.130969,0.071521,0.076836,0.15933,0.045062,0.011534,0.157058,0.063083,0.979657,0.054792,0.164648,0.035626,0.055089,0.135458,0.039138,22.679283,0.082159,0.087883,0.229513,0.168923,0.183751,0.090728,0.219832,0.084084,0.602736,4.731048,0.200903,0.191292,0.002717,0.126486,0.074501,0.068478,0.061511,0.043013,0.385712,0.122067,0.03637,0.076661,0.030299,0.090646,0.001429,23.470439,25.055048,0.117374,0.036949,0.177145,0.063077,22.204505,0.075659,0.039604,0.146279,0.225186,0.212408,0.15205,0.001515,0.137112,0.039843,0.053689,0.075487,0,0.002854,14.205729,0.12095,0.040531,0.205632,0.032808,0.187563,0.114899,0.364509,0.386255,0.349867,0.276358,0.312025,0.160252,0.009742,0.460175,0.018787,0.061701,0.084353,7.004092,0.800808,0.036865,1.067725,0.089161,0.727241,0.088437,0.002762,0.840507,0.075024,0.097405,0.02551,0.063171,0.221131,0.025368,0.275655,0.083138,1.102268,0.778441,0.471429,0.040741,0.072445,0.020155,0.102502,0.06429,0.280763,0,0.141959,0.23167,0.045733,0.058334,0.017161,0.001936,0.101066,0.115042,22.338615,0.055543,9.883058,0.056298,0,0.774433,22.158055,0.100763,0.935879,1.11525,19.455433,0.033595,0.25316,0.040694,0.134153,8.683264,0.015826,0.016663,0.045495,0.751362,0.086965,0.062208,8.073429,0.299855,0.014744,0.026322,0.26371,0.011952,0.016996,0.204723,0.071877,0.145672,0.677439,0.153162,1.266786,0.076194,0.00442,0.049463,0.039106,0.214743,0.013335,0.552293,0.037415,1.061379,0.113582,0.238436,0.376115,0.598661,0.063224,0.046887,0.093007,0.054388,0.014075,0.173791,0.014658,0.126737,0.001212,0.09212,0.63819,0.690267,0.0264,0.180461,0.285369,0.065494
Firmicutes,20.294523,3.925705,8.285856,0.78232,7.562323,10.263225,20.911336,3.897556,2.051308,17.375929,17.348614,0.881299,3.197145,32.056007,49.851412,29.18993,1.005632,2.531847,17.459296,16.123165,3.793591,12.333752,32.125512,2.59676,7.56511,4.07527,14.981764,26.222361,15.105718,8.371025,27.002141,28.431654,18.736524,19.820799,36.553611,10.813385,4.902677,7.162199,18.107875,1.871178,7.053423,1.182458,2.295668,1.174425,11.786717,15.975914,5.29532,43.590663,3.946452,23.585808,4.303412,8.783203,1.658885,3.020619,5.081642,10.245602,6.718644,4.798418,15.593744,9.341656,4.655006,44.38686,0.936249,6.285641,6.560686,3.108245,2.309288,4.164558,1.74249,5.828754,2.981788,2.287129,3.282634,2.274916,5.86033,1.951551,3.096641,9.090087,9.787078,9.716214,7.999094,7.675764,20.110743,3.104167,0.848975,3.713128,20.010967,1.478902,9.809551,4.341201,2.468509,1.184672,6.754175,8.46207,9.428587,2.144061,21.519727,32.594116,8.817359,27.39505,15.388725,29.023644,24.633701,19.921047,20.636521,7.675276,25.742877,2.400835,14.13734,19.900028,2.450237,5.86558,18.9563,15.951371,4.090929,16.677571,3.633102,15.06285,1.147592,25.484052,4.49153,33.377595,19.16491,15.119922,26.14683,5.870287,5.590363,5.752578,13.667181,5.171767,16.836699,1.041036,20.31545,17.996979,11.082456,18.751798,7.652582,23.878525,19.455862,9.476894,28.505013,21.263223,6.988118,36.538554,2.67091,6.051873,9.982693,29.308115,0.837249,18.820402,47.46832,19.195124,4.096964,33.89155,27.424188,29.998972,0.392953,16.652057,14.704948,4.116882,3.723605,23.926956,9.114149,25.16584,27.589472,14.906684,27.988325,4.362164,10.083764,10.631269,13.14473,20.267632,29.476848,19.175334,25.18106,8.01277,50.154835,9.332399,28.638084,17.03582,31.842949,24.628947,9.287577,29.744123,31.097707,10.229422,27.821356,6.121916,17.982641,20.304232,26.662006,31.182019,27.731724,3.115909,25.824933,26.993224,24.312389,36.563266,11.684706,24.955558
Fusobacteria,3.669844,0.920796,0.780181,5.003586,0.635855,0.440817,0.11397,0.027325,0.004991,0.018702,0.604109,0.666858,0.030841,0.408508,17.781575,0.034689,0,0.063571,8.293298,0.468896,0.96004,5.701965,1.828104,0.310841,10.046261,1.17849,12.134398,14.677555,7.763998,0.76295,0.267666,0.500952,7.656121,4.228865,0.229539,8.99528,33.663831,2.093285,0.147886,0.111685,0,0.01283,0.00245,0.035283,0.203461,8.777259,0.039626,14.042916,0.039783,34.758153,2.339165,0.207437,0.024834,1.070278,0.034949,1.396476,0.431866,0.061893,0.100018,0.785381,46.686407,1.1981,0.570326,0.051507,0.126777,0.04637,0.414961,0.03741,0.004731,0.076881,0.182393,2.763791,0.655898,0.196698,0.322433,0.556531,0.260578,0.010547,11.565677,7.763461,6.944794,2.686322,0.099897,0.083333,0.127928,0,0.131213,0.015142,15.797143,13.218434,0.004614,0.452201,7.937768,0.008291,0.135663,0.884149,7.848027,10.510599,7.311269,0.287145,5.882188,0.204579,1.002782,0.107524,0.376481,3.315303,4.508894,4.524762,0.198884,0.092567,2.097467,0.449836,12.933673,0.546624,0.076659,15.347744,0.459425,26.903175,0.257438,0.009895,4.030462,0.039232,14.747432,26.23083,15.02466,0.499013,4.280597,0,4.701765,0.412594,0.063322,0.015705,12.41517,37.060919,1.571757,19.941433,0.337441,22.733362,7.589298,40.553601,33.747226,0.126266,0.331583,14.718584,0.348892,2.242216,0.35233,16.022206,0.696605,40.15429,2.434691,12.919145,66.473036,7.415122,14.928698,0.098674,0.082134,17.358971,1.614686,3.4315,9.92579,20.46064,1.31586,0.017929,0.029136,6.941535,24.041645,20.286862,7.122259,0.531563,0.198941,3.697001,2.825699,0.272049,0.004693,5.603356,3.920523,0.296352,9.908443,0.039936,16.928366,18.011791,1.431709,13.955768,0.095691,3.123636,0.561551,3.872427,16.091954,1.458671,19.827936,15.71534,0.071505,0.0501,0.003626,3.115699,7.413719,4.935129,2.915392,22.553331
Planctomycetes,0.031166,0.092671,0.040587,0.039116,0.013937,0.122332,0,0.05465,0,0,0,0.054918,0,0,0,0,0,0,0.014104,0,0,0,0,0.110032,0.04322,0.237621,0.059144,0,0.694907,0.074986,0,0,0.039202,0.101536,0.058762,0.057146,0.007828,0.349895,0,0.001831,0.002049,0.047042,0.0098,0,0.025725,0,0.050054,0.035875,0.20687,0,0.114106,0,0.044701,0,0,0,0.042857,0,0,0,0,0.009853,0.075758,0.338472,0.527124,0,0.002842,0,0.048884,0.492611,0.001351,0.016973,0.17931,0,0.227689,0.069382,0,0.022601,0,0,0,0.029327,0,0.117188,0,0,0,0.010095,0.001443,0,0.002307,0,0,0,0.040699,0,0,0.017134,0,0.028477,0.070294,0.004685,0,0,0,0,0,0,0,0.007405,0,0,0,0.020627,0.0457,0,0,0.01489,0,0.039582,0.003454,0.019616,0,0.003665,0,0.117865,0.143839,0.287762,0,0.015445,0,0.109937,0.00312,0,0.00697,0.005229,0.601526,0,0.076901,0.002346,0.038264,0.182384,0.240398,0,0.094295,0.044516,0.213253,0.004199,0.291217,0,0.027193,0.077844,0,0.020829,0,0.008223,0,0.264386,0.179127,0.035187,0,0.001645,0.048437,0,0.026708,0.128547,0,0.003202,0.086968,0.126134,0.081917,0.009524,0.001473,0.004122,0.003128,0.017179,0,0,0,0,0,0.006562,0.108442,0.001181,0.020505,0,0.096517,0.517774,0.011729,0.220656,0.197321,0.019251,0.053326,3.361562,0,0,0,0,0.035992,0
Proteobacteria,53.304937,91.036536,69.559401,92.952604,55.342055,76.632498,55.733311,92.6719,95.650329,75.100736,72.096211,97.034441,89.602303,45.483475,13.258544,53.685289,98.335038,94.688134,67.471196,70.98161,87.970841,63.194292,53.626194,93.494347,69.046438,88.971911,47.848985,15.873675,62.510557,76.406875,34.686831,33.245493,58.134384,41.291104,31.669023,59.595318,59.94886,53.19013,68.77131,93.732835,81.298797,97.656467,96.128969,97.469694,73.51029,53.417598,84.078585,28.240544,90.718676,24.337311,86.511085,82.84594,96.528261,90.664232,91.644299,75.431201,84.85338,91.025531,55.205492,80.761288,43.345269,30.123948,94.941395,56.570766,56.89264,90.991161,93.978797,91.094338,95.989908,59.662861,95.302367,91.251768,93.197225,92.298927,87.628362,92.272036,92.864393,71.067818,53.034456,73.779721,76.770168,83.367874,57.706359,76.065104,97.57635,84.755686,26.820336,97.130527,55.080075,70.555764,91.177963,93.850538,73.010595,73.077242,77.81094,93.39375,18.267901,14.062271,67.752137,43.646029,61.625193,43.450354,35.566855,63.105588,38.160385,78.931257,21.955406,80.572953,55.883653,39.165047,91.44572,84.944656,29.070541,62.212023,90.116905,24.492303,86.608133,44.592935,95.195707,33.651087,83.106253,20.598443,23.210287,30.291148,28.758393,75.113655,78.321785,87.807413,57.341459,89.003376,45.669458,97.406385,16.945662,15.29569,75.618596,19.070777,57.966549,4.418924,28.270266,13.518649,13.256677,45.983333,58.709588,23.240248,92.206506,83.887444,54.339226,12.092453,95.765769,2.256336,23.402404,22.833223,14.056842,14.105395,11.963667,8.949532,98.595678,26.493708,52.098075,28.203167,76.337991,7.676236,66.280071,36.676029,26.858641,66.942011,16.405297,59.890506,72.32572,74.878371,71.27644,48.267378,11.20409,42.383314,26.534124,53.125939,4.759153,70.84164,22.027687,48.075387,8.646068,8.371523,62.205903,20.182078,58.082431,70.291507,57.843292,76.998216,14.729064,65.319951,6.393199,32.2665,13.128999,63.733919,29.661324,24.982585,40.983056,15.700093,75.710209,22.017683
SAR406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002677,0,0,0,0,0,0,2.184562,0,0,0,0,0,0,0,0,0,0.295971,0,0,0,0,0,0,0,0,0,0,0.004546,0,0,0,0,1.519444,1.774872,0,0,0,0,1.870782,0,0,0,0,0,0,0,0,0,0,0,0,0,1.148438,0.004652,0,0,0,0.001443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002448,0,0,0,0,0,0,0,1.1473,0.008168,0.803479,0,0,0,1.083172,0,0,0.007029,1.316603,0,0,0.003463,0,0.613938,0.001862,0,0,0.055504,0,0,0.633933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
