node,V1,V2
1,-42,-44
2,-85,-132
3,-74,-76
4,1,2
5,-53,-69
6,-17,-157
7,-43,5
8,-24,-67
9,-72,-111
10,-88,4
11,-58,-68
12,-18,-71
13,-78,-178
14,-54,-66
15,-9,7
16,-119,-149
17,-137,-143
18,-77,-96
19,-12,10
20,-105,-110
21,-2,-49
22,-8,-73
23,-56,-170
24,-40,-92
25,-26,-130
26,-57,-112
27,-6,-95
28,-115,14
29,8,24
30,-145,22
31,11,21
32,-59,-109
33,-80,-169
34,-55,31
35,6,19
36,15,16
37,-13,-21
38,-135,23
39,-91,3
40,-3,13
41,-82,-146
42,18,30
43,-11,-20
44,12,36
45,-47,26
46,-52,-60
47,-7,-83
48,-70,17
49,-127,-188
50,-31,-103
51,-75,-128
52,-30,27
53,25,28
54,-63,29
55,-106,49
56,-148,-155
57,-116,-123
58,-51,-117
59,-64,-65
60,39,42
61,-94,-126
62,44,54
63,-120,50
64,37,53
65,-185,-187
66,9,60
67,-22,-101
68,-45,38
69,-98,-154
70,-165,-195
71,-41,46
72,-93,33
73,48,59
74,-131,-174
75,45,58
76,34,66
77,-25,-99
78,-121,41
79,-107,-196
80,-39,43
81,51,64
82,-19,-166
83,-156,-193
84,-38,-147
85,-142,-172
86,-186,40
87,-81,55
88,52,68
89,-86,75
90,-16,-23
91,-113,-158
92,35,62
93,-179,-184
94,-28,56
95,-171,80
96,-138,-182
97,-162,-191
98,-180,85
99,71,78
100,-114,67
101,-10,-199
102,-46,-129
103,-34,20
104,-4,76
105,-90,-161
106,-198,69
107,-104,-190
108,57,91
109,-79,-89
110,-29,82
111,-167,-200
112,61,86
113,73,84
114,-108,87
115,-36,102
116,89,99
117,-14,-102
118,-100,-197
119,-163,-183
120,-139,-152
121,74,103
122,-32,63
123,72,105
124,92,104
125,-122,79
126,-173,83
127,-181,94
128,65,90
129,-97,-189
130,32,47
131,-33,100
132,96,97
133,-35,-62
134,88,101
135,-27,109
136,-134,-140
137,-176,115
138,-87,70
139,77,123
140,107,110
141,-125,93
142,81,116
143,-144,-192
144,-136,108
145,95,134
146,-159,130
147,-164,-175
148,135,137
149,98,118
150,-50,-141
151,106,125
152,112,119
153,127,132
154,114,139
155,-150,136
156,121,149
157,-48,143
158,111,141
159,131,146
160,-1,128
161,-151,133
162,-37,-168
163,140,145
164,122,156
165,129,144
166,148,159
167,-84,142
168,-118,-124
169,117,160
170,152,154
171,-133,158
172,-15,-177
173,138,151
174,120,171
175,-5,166
176,163,170
177,165,173
178,-194,176
179,124,167
180,157,161
181,126,153
182,150,155
183,-61,162
184,174,177
185,113,178
186,164,175
187,147,180
188,181,184
189,168,186
190,-153,182
191,-160,188
192,169,185
193,172,187
194,183,192
195,189,194
196,191,193
197,179,195
198,190,196
199,197,198
